Identificador_Dirección,Número_de_Distrito,same_as_wikidata_Número_de_Distrito,Calle,same_as_wikidata_Calle,Tipo de Vía
750181826,7,https://wikidata.org/entity/Q259463,allée Adrienne-Lecouvreur,https://wikidata.org/entity/Q2838782,allée
750154927,13,https://wikidata.org/entity/Q175129,allée Alexandre-Vialatte,https://wikidata.org/entity/Q2838784,allée
750155610,20,https://wikidata.org/entity/Q210720,allée Alquier-Debrousse,https://wikidata.org/entity/Q2838785,allée
750179202,1,https://wikidata.org/entity/Q161741,allée André-Breton,https://wikidata.org/entity/Q2838786,allée
750013157,19,https://wikidata.org/entity/Q204622,allée Anne-de-Beaujeu,https://wikidata.org/entity/Q2838788,allée
750182115,3,https://wikidata.org/entity/Q223140,Allée Arnaud-Beltrame,https://wikidata.org/entity/Q86786749,allée
750141929,19,https://wikidata.org/entity/Q204622,allée Arthur-Honegger,https://wikidata.org/entity/Q2838789,allée
750179210,1,https://wikidata.org/entity/Q161741,allée Blaise-Cendrars,https://wikidata.org/entity/Q2838791,allée
750178808,16,https://wikidata.org/entity/Q194420,Allée Charles-Brennus,https://wikidata.org/entity/Q101064670,allée
750165723,14,https://wikidata.org/entity/Q187153,allée du Château-Ouvrier,https://wikidata.org/entity/Q2838975,allée
750177779,17,https://wikidata.org/entity/Q197297,Allée Colette-Heilbronner,https://wikidata.org/entity/Q16928441,allée
750075421,18,https://wikidata.org/entity/Q200126,allée d'Andrézieux,https://wikidata.org/entity/Q2838898,allée
750015226,19,https://wikidata.org/entity/Q204622,allée Darius-Milhaud,https://wikidata.org/entity/Q2838798,allée
750167536,12,https://wikidata.org/entity/Q171689,allée de Bercy,https://wikidata.org/entity/Q2838904,allée
750016288,19,https://wikidata.org/entity/Q204622,allée de Fontainebleau,https://wikidata.org/entity/Q2838908,allée
750168440,16,https://wikidata.org/entity/Q194420,allée de l'Espérance,https://wikidata.org/entity/Q21097893,allée
750161448,15,https://wikidata.org/entity/Q191066,allée de la Bertelotte,https://wikidata.org/entity/Q2838926,allée
