MES,BASURA,COD_DISTRITO,DISTRITO,TOTAL_KG_MUEBLES,MUEBLES,TOTAL_ENVASES,ENVASES,TOTAL_PAPEL_Y_CARTON,PAPEL_Y_CARTON,REPOSICION_BOLSAS_CANINAS,BOLSAS_CANINAS
MARZO,Basura,1,CENTRO ,43.82,Mueble,2.76,Envase,11.52,Papel_y_Carton,865.1,Bolsas_caninas
MARZO,Basura,6,TETUÁN,92.4,Mueble,260,Envase,4.04,Papel_y_Carton,472.5,Bolsas_caninas
MARZO,Basura,7,CHAMBERÍ,21.984,Mueble,0,Envase,5.04,Papel_y_Carton,398.2,Bolsas_caninas
MARZO,Basura,2,ARGANZUELA,19.58,Mueble,426,Envase,4.22,Papel_y_Carton,350.4,Bolsas_caninas
MARZO,Basura,3,RETIRO,10.962,Mueble,386,Envase,1.04,Papel_y_Carton,312.3,Bolsas_caninas
MARZO,Basura,4,SALAMANCA,51.04,Mueble,437,Envase,2.88,Papel_y_Carton,374.9,Bolsas_caninas
MARZO,Basura,5,CHAMARTÍN,27.168,Mueble,290,Envase,960,Papel_y_Carton,325,Bolsas_caninas
MARZO,Basura,8,FUENCARRAL,72.32,Mueble,880,Envase,14.26,Papel_y_Carton,333.1,Bolsas_caninas
MARZO,Basura,9,MONCLOA,45.72,Mueble,820,Envase,8.11,Papel_y_Carton,258.18,Bolsas_caninas
MARZO,Basura,10,LATINA,67.14,Mueble,1.08,Envase,9.18,Papel_y_Carton,392.2,Bolsas_caninas
MARZO,Basura,15,CIUDAD LINEAL,52.49,Mueble,30,Envase,8.491,Papel_y_Carton,507.4,Bolsas_caninas
MARZO,Basura,16,HORTALEZA,77.51,Mueble,60,Envase,12.383,Papel_y_Carton,473.42,Bolsas_caninas
MARZO,Basura,20,SAN BLAS,56.53,Mueble,50,Envase,9.199,Papel_y_Carton,462.8,Bolsas_caninas
MARZO,Basura,21,BARAJAS,34.77,Mueble,40,Envase,5.307,Papel_y_Carton,370,Bolsas_caninas
MARZO,Basura,13,PUENTE DE VALLECAS ,14.44,Mueble,483,Envase,4.74,Papel_y_Carton,603.1,Bolsas_caninas
MARZO,Basura,18,VILLA DE VALLECAS ,7.04,Mueble,207,Envase,2.78,Papel_y_Carton,294.1,Bolsas_caninas
MARZO,Basura,14,MORATALAZ,14,Mueble,552,Envase,4.86,Papel_y_Carton,293.2,Bolsas_caninas
MARZO,Basura,19,VICÁLVARO,4.78,Mueble,138,Envase,1.88,Papel_y_Carton,199.6,Bolsas_caninas
MARZO,Basura,11,CARABANCHEL,63.2,Mueble,165,Envase,28.96,Papel_y_Carton,463.1,Bolsas_caninas
MARZO,Basura,12,USERA,34.388,Mueble,90,Envase,18.48,Papel_y_Carton,271.9,Bolsas_caninas
MARZO,Basura,17,VILLAVERDE,42.752,Mueble,45,Envase,24.48,Papel_y_Carton,286.4,Bolsas_caninas
ABRIL,Basura,1,CENTRO ,37.59,Mueble,2.26,Envase,9.84,Papel_y_Carton,865.1,Bolsas_caninas
ABRIL,Basura,6,TETUÁN,51.84,Mueble,180,Envase,5.46,Papel_y_Carton,472.5,Bolsas_caninas
ABRIL,Basura,7,CHAMBERÍ,24.78,Mueble,580,Envase,3.26,Papel_y_Carton,398.2,Bolsas_caninas
ABRIL,Basura,2,ARGANZUELA,29.78,Mueble,0,Envase,3.34,Papel_y_Carton,334,Bolsas_caninas
ABRIL,Basura,3,RETIRO,5.72,Mueble,0,Envase,1.82,Papel_y_Carton,312.3,Bolsas_caninas
ABRIL,Basura,4,SALAMANCA,72.72,Mueble,1.16,Envase,3.28,Papel_y_Carton,374.9,Bolsas_caninas
ABRIL,Basura,5,CHAMARTÍN,33.26,Mueble,0,Envase,0,Papel_y_Carton,325,Bolsas_caninas
ABRIL,Basura,8,FUENCARRAL,54.7,Mueble,840,Envase,29.4,Papel_y_Carton,317,Bolsas_caninas
ABRIL,Basura,9,MONCLOA,48.96,Mueble,780,Envase,21.38,Papel_y_Carton,242,Bolsas_caninas
ABRIL,Basura,10,LATINA,57.74,Mueble,1.3,Envase,10.46,Papel_y_Carton,376.2,Bolsas_caninas
ABRIL,Basura,15,CIUDAD LINEAL,108.578,Mueble,40,Envase,26.56,Papel_y_Carton,507.4,Bolsas_caninas
ABRIL,Basura,16,HORTALEZA,144.93,Mueble,70,Envase,35.75,Papel_y_Carton,457,Bolsas_caninas
ABRIL,Basura,20,SAN BLAS,101.632,Mueble,60,Envase,24.51,Papel_y_Carton,462.8,Bolsas_caninas
ABRIL,Basura,21,BARAJAS,62.22,Mueble,50,Envase,15.32,Papel_y_Carton,354,Bolsas_caninas
ABRIL,Basura,13,PUENTE DE VALLECAS ,40.642,Mueble,347,Envase,4.942,Papel_y_Carton,571.1,Bolsas_caninas
ABRIL,Basura,18,VILLA DE VALLECAS ,17.419,Mueble,153,Envase,2.118,Papel_y_Carton,294.1,Bolsas_caninas
ABRIL,Basura,14,MORATALAZ,46.447,Mueble,398,Envase,5.648,Papel_y_Carton,277,Bolsas_caninas
ABRIL,Basura,19,VICÁLVARO,11.612,Mueble,102,Envase,1.412,Papel_y_Carton,199.6,Bolsas_caninas
ABRIL,Basura,11,CARABANCHEL,126.244,Mueble,200,Envase,31.016,Papel_y_Carton,463.1,Bolsas_caninas
ABRIL,Basura,12,USERA,165.683,Mueble,125,Envase,19.385,Papel_y_Carton,271.9,Bolsas_caninas
ABRIL,Basura,17,VILLAVERDE,247.293,Mueble,175,Envase,27.139,Papel_y_Carton,270.4,Bolsas_caninas
MAYO,Basura,1,CENTRO ,31.39,Mueble,3.2,Envase,8.94,Papel_y_Carton,865.1,Bolsas_caninas
MAYO,Basura,6,TETUÁN,67.92,Mueble,360,Envase,3.48,Papel_y_Carton,462.5,Bolsas_caninas
MAYO,Basura,7,CHAMBERÍ,23.58,Mueble,300,Envase,4.3,Papel_y_Carton,396.2,Bolsas_caninas
MAYO,Basura,2,ARGANZUELA,44.34,Mueble,0,Envase,5.16,Papel_y_Carton,364,Bolsas_caninas
MAYO,Basura,3,RETIRO,12.5,Mueble,0,Envase,1.38,Papel_y_Carton,332.3,Bolsas_caninas
MAYO,Basura,4,SALAMANCA,49.24,Mueble,1.28,Envase,3.72,Papel_y_Carton,394.9,Bolsas_caninas
MAYO,Basura,5,CHAMARTÍN,16.4,Mueble,0,Envase,0,Papel_y_Carton,415.2,Bolsas_caninas
MAYO,Basura,8,FUENCARRAL,62.34,Mueble,560,Envase,26.8,Papel_y_Carton,356.1,Bolsas_caninas
